iter	Passed	Remaining
562	1956	1518
563	1960	1515
564	1963	1512
565	1967	1508
566	1970	1504
567	1973	1500
568	1977	1497
569	1980	1494
570	1983	1490
571	1987	1487
572	1990	1483
573	1993	1479
574	1997	1476
575	2000	1472
576	2003	1468
577	2006	1465
578	2011	1462
579	2013	1458
580	2017	1454
581	2020	1451
582	2023	1447
583	2027	1444
584	2029	1440
585	2034	1437
586	2037	1433
587	2040	1429
588	2044	1426
589	2047	1423
590	2051	1419
591	2054	1416
592	2058	1412
593	2061	1409
594	2064	1405
595	2066	1401
596	2069	1397
597	2073	1393
598	2076	1390
599	2080	1386
600	2082	1382
601	2085	1379
602	2089	1375
603	2092	1371
604	2095	1367
605	2098	1364
606	2101	1360
607	2104	1357
608	2107	1353
609	2111	1349
610	2114	1346
611	2118	1343
612	2122	1339
613	2125	1336
614	2128	1332
615	2131	1328
616	2134	1325
617	2137	1321
618	2141	1317
619	2144	1314
620	2147	1310
621	2150	1306
622	2153	1302
623	2156	1299
624	2160	1296
625	2164	1293
626	2167	1289
627	2170	1285
628	2173	1282
629	2176	1278
630	2179	1274
631	2183	1271
632	2185	1267
633	2188	1263
634	2192	1260
635	2195	1256
636	2199	1253
637	2202	1249
638	2205	1246
639	2208	1242
640	2212	1239
641	2216	1236
642	2220	1232
643	2223	1228
644	2226	1225
645	2229	1221
646	2232	1217
647	2236	1214
648	2240	1211
649	2244	1208
650	2247	1204
651	2250	1201
652	2254	1198
653	2258	1194
654	2261	1191
655	2264	1187
656	2267	1183
657	2275	1182
658	2278	1178
659	2280	1174
660	2283	1171
661	2286	1167
662	2292	1165
663	2296	1161
664	2300	1158
665	2303	1155
666	2305	1150
667	2309	1147
668	2311	1143
669	2315	1140
670	2318	1136
671	2320	1132
672	2323	1128
673	2326	1125
674	2328	1121
675	2331	1117
676	2334	1113
677	2337	1110
678	2339	1106
679	2342	1102
680	2345	1098
681	2348	1095
682	2351	1091
683	2354	1087
684	2356	1083
685	2359	1079
686	2362	1076
687	2364	1072
688	2368	1069
689	2371	1065
690	2373	1061
691	2376	1057
692	2379	1054
693	2381	1050
694	2383	1046
695	2385	1042
696	2388	1038
697	2391	1034
698	2394	1031
699	2398	1027
700	2402	1024
701	2405	1020
702	2408	1017
703	2411	1013
704	2415	1010
705	2417	1006
706	2420	1003
707	2424	999
708	2427	996
709	2429	992
710	2433	989
711	2437	985
712	2440	982
713	2443	978
714	2446	975
715	2449	971
716	2452	968
717	2455	964
718	2457	960
719	2460	956
720	2463	953
721	2466	949
722	2470	946
723	2473	942
724	2477	939
725	2480	936
726	2483	932
727	2487	929
728	2490	925
729	2494	922
730	2499	919
731	2503	916
732	2505	912
733	2509	909
734	2513	906
735	2516	902
736	2519	898
737	2522	895
738	2525	892
739	2528	888
740	2533	885
741	2536	881
742	2539	878
743	2542	874
744	2545	871
745	2549	867
746	2552	864
747	2555	861
748	2560	858
749	2563	854
750	2566	851
751	2570	847
752	2574	844
753	2577	841
754	2582	837
755	2585	834
756	2588	831
757	2592	827
758	2596	824
759	2599	820
760	2602	817
761	2606	814
762	2609	810
763	2613	807
764	2615	803
765	2618	800
766	2621	796
767	2624	792
768	2627	789
769	2630	785
770	2632	781
771	2635	778
772	2639	775
773	2642	771
774	2645	768
775	2648	764
776	2651	761
777	2654	757
778	2657	753
779	2660	750
780	2663	746
781	2667	743
782	2670	739
783	2673	736
784	2676	733
785	2679	729
786	2682	726
787	2686	722
788	2689	719
789	2692	715
790	2696	712
791	2700	709
792	2703	705
793	2706	702
794	2709	698
795	2713	695
796	2717	692
797	2721	689
798	2727	686
799	2732	683
800	2735	679
801	2740	676
802	2743	673
803	2747	669
804	2753	666
805	2756	663
806	2759	660
807	2762	656
808	2766	653
809	2770	649
810	2774	646
811	2777	643
812	2780	639
813	2783	635
814	2786	632
815	2789	628
816	2791	625
817	2794	621
818	2798	618
819	2800	614
820	2803	611
821	2806	607
822	2808	604
823	2812	600
824	2815	597
825	2818	593
826	2821	590
827	2823	586
828	2826	582
829	2828	579
830	2831	575
831	2833	572
832	2836	568
833	2839	565
834	2842	561
835	2845	558
836	2848	554
837	2850	551
838	2853	547
839	2856	544
840	2859	540
841	2862	537
842	2864	533
843	2868	530
844	2871	526
845	2873	523
846	2876	519
847	2879	516
848	2882	512
849	2885	509
850	2887	505
851	2889	501
852	2892	498
853	2894	494
854	2897	491
855	2901	488
856	2904	484
857	2907	481
858	2911	477
859	2914	474
860	2918	471
861	2921	467
862	2925	464
863	2929	461
864	2931	457
865	2934	454
866	2936	450
867	2939	447
868	2942	443
869	2945	440
870	2948	436
871	2951	433
872	2953	429
873	2956	426
874	2959	422
875	2962	419
876	2965	415
877	2968	412
878	2971	408
879	2973	405
880	2976	402
881	2979	398
882	2983	395
883	2985	391
884	2988	388
885	2990	384
886	2993	381
887	2996	377
888	2998	374
889	3001	370
890	3003	367
891	3005	363
892	3008	360
893	3010	356
894	3013	353
895	3015	350
896	3018	346
897	3021	343
898	3024	339
899	3026	336
900	3029	332
901	3032	329
902	3035	326
903	3038	322
904	3041	319
905	3044	315
906	3048	312
907	3051	309
908	3054	305
909	3057	302
910	3060	299
911	3063	295
912	3066	292
913	3068	288
914	3072	285
915	3074	281
916	3078	278
917	3081	275
918	3083	271
919	3085	268
920	3088	264
921	3091	261
922	3094	258
923	3097	254
924	3100	251
925	3103	248
926	3106	244
927	3108	241
928	3111	237
929	3114	234
930	3117	231
931	3119	227
932	3122	224
933	3125	220
934	3129	217
935	3132	214
936	3135	210
937	3138	207
938	3141	204
939	3144	200
940	3148	197
941	3151	194
942	3154	190
943	3157	187
944	3161	183
945	3163	180
946	3167	177
947	3170	173
948	3173	170
949	3176	167
950	3179	163
951	3183	160
952	3187	157
953	3190	153
954	3194	150
955	3197	147
956	3200	143
957	3203	140
958	3206	137
959	3209	133
960	3211	130
961	3215	127
962	3218	123
963	3222	120
964	3225	116
965	3228	113
966	3231	110
967	3234	106
968	3238	103
969	3241	100
970	3245	96
971	3248	93
972	3251	90
973	3254	86
974	3257	83
975	3260	80
976	3263	76
977	3266	73
978	3269	70
979	3272	66
980	3276	63
981	3279	60
982	3282	56
983	3286	53
984	3289	50
985	3292	46
986	3295	43
987	3299	40
988	3303	36
989	3306	33
990	3309	30
991	3312	26
992	3315	23
993	3318	20
994	3321	16
995	3324	13
996	3331	10
997	3334	6
998	3337	3
999	3340	0
