GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Players,1629010,Jerome Robinson,Jerome,22,17,5,0.773,80.71666666666667,11,33,0.333,2,17,0.118,7,11,0.636,1,5,6,5,2,1,3,0,5,7,31,27,55.7,0,0,52.0,16,14,3,2,16,16,16,17,14,14,14,15,15,12,18,16,17,16,16,16,13,1,3,16,16,10,16,10,2,16
Players,1629011,Mitchell Robinson,Mitchell,31,19,12,0.613,768.11,73,127,0.575,0,0,0.0,27,66,0.409,142,121,263,18,25,37,35,14,55,60,173,13,706.6,2,0,598.0,10,11,14,17,10,13,14,3,21,24,21,12,9,20,2,7,7,15,12,7,4,16,17,8,13,8,9,6,3,12
Players,1629012,Collin Sexton,Collin,78,29,49,0.372,2074.7633333333333,506,1038,0.487,128,325,0.394,318,370,0.859,71,134,205,383,165,62,18,113,154,295,1458,-143,2353.5,4,0,2334.0,1,1,21,10,1,1,1,7,3,3,5,1,1,4,5,10,7,1,2,2,8,21,20,1,1,15,1,5,2,1
Players,1629013,Landry Shamet,Landry,46,6,40,0.13,726.4966666666667,118,274,0.431,53,157,0.338,38,46,0.826,16,46,62,54,30,25,10,21,76,45,327,-149,557.4,0,0,566.0,9,10,16,20,8,9,8,17,7,7,10,9,10,6,16,17,16,10,9,11,11,16,18,11,8,16,10,13,2,9
Players,1629014,Anfernee Simons,Anfernee,46,11,35,0.239,1581.743333333333,360,837,0.43,156,405,0.385,163,178,0.916,22,145,167,255,126,23,5,51,98,127,1039,-330,1579.9,3,0,1673.0,9,10,14,13,6,3,2,10,1,1,3,3,3,2,15,6,8,2,2,12,17,20,16,4,2,19,3,5,1,3
Players,1629018,Gary Trent Jr.,Gary,71,24,47,0.338,1993.5983333333331,361,847,0.426,178,453,0.393,74,96,0.771,25,163,188,119,47,77,10,31,96,78,974,-194,1592.1,1,0,1633.0,1,1,30,11,2,2,2,16,1,1,2,6,7,17,13,6,6,8,9,1,12,25,26,9,2,27,2,10,2,2
Players,1629020,Jarred Vanderbilt,Jarred,29,14,15,0.483,581.2366666666667,59,114,0.518,8,27,0.296,24,36,0.667,41,97,138,36,28,36,5,13,43,40,150,43,464.6,0,0,414.0,12,13,10,17,12,11,12,6,11,12,12,12,12,13,6,10,10,11,12,8,12,12,10,10,12,6,11,8,4,11
Players,1629021,Moritz Wagner,Moritz,80,46,34,0.575,1414.736666666667,332,552,0.601,38,115,0.33,166,204,0.814,117,230,347,96,97,39,21,40,160,192,868,93,1511.4,3,0,1469.0,2,2,16,8,5,4,5,3,10,9,11,4,4,4,1,5,4,7,5,9,8,16,15,3,5,5,5,4,2,5
Players,1629022,Lonnie Walker IV,Lonnie,58,23,35,0.397,1011.14,208,492,0.423,104,271,0.384,45,59,0.763,13,114,127,74,51,32,20,23,71,46,565,5,933.4,0,0,974.0,7,6,13,11,9,6,7,14,5,6,5,9,9,10,15,10,12,13,11,8,6,13,11,10,7,3,10,13,1,8
Players,1629023,P.J. Washington,P.J.,44,9,35,0.205,1285.5716666666667,227,509,0.446,79,244,0.324,67,94,0.713,53,179,232,97,66,38,32,27,112,78,600,-289,1167.9,2,0,1148.0,7,9,19,18,4,5,4,10,4,3,16,6,6,22,5,4,4,10,6,5,4,22,23,7,5,22,5,7,2,5
