TeamID,SEASON,PLAYER,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,GROUP_SET,PLAYER_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,team_id
1610612738,2023,Drew Peterson,drew-peterson,13.0,F,6-9,205,"NOV 09, 1999",24.0,R,Southern California,1641809,Signed on 12/14/23,Players,Drew Peterson,3,3,0,1.0,22.683333333333334,4,6,0.667,3,5,0.6,0,0,0.0,0,1,1,1,1,2,0,0,1,0,11,8,18.7,0,0,19,19,1,1,19,19,19,2,12,17,2,19,19,19,19,19,19,19,19,18,19,1,1,19,19,19,19,10,3,1610612738
1610612738,2023,JD Davison,jd-davison,20.0,G,6-1,195,"OCT 03, 2002",21.0,1,Alabama,1631120,#53 Pick in 2022 Draft,Players,JD Davison,8,8,0,1.0,39.01,5,12,0.417,3,7,0.429,3,4,0.75,2,8,10,10,2,1,1,0,4,3,16,23,47.0,0,0,18,18,1,1,18,18,18,16,12,16,3,17,17,11,18,18,18,15,18,19,16,1,2,17,17,16,18,10,3,1610612738
1610612738,2023,Xavier Tillman,xavier-tillman,26.0,F,6-7,245,"JAN 12, 1999",25.0,3,Michigan State,1630214,Traded from MEM on 02/07/24,Players,Xavier Tillman,34,14,20,0.412,700.23,87,213,0.408,12,53,0.226,18,43,0.419,56,101,157,57,29,42,35,20,60,36,204,-102,679.9,2,0,12,8,22,3,12,13,11,19,17,15,24,19,14,27,7,11,10,17,16,6,4,25,21,14,15,22,11,7,1,1610612763
1610612738,2023,Jordan Walsh,jordan-walsh,27.0,G,6-6,205,"MAR 03, 2004",20.0,R,Arkansas,1641775,Draft Rights Traded from SAC on 06/28/23,Players,Jordan Walsh,9,9,0,1.0,83.47333333333333,6,15,0.4,2,9,0.222,1,2,0.5,5,15,20,5,3,5,1,0,11,3,15,47,61.5,0,0,17,17,1,1,17,17,17,18,15,14,16,18,18,18,17,16,16,18,17,16,16,1,3,17,18,13,17,10,3,1610612738
1610612738,2023,Sam Hauser,sam-hauser,30.0,F,6-7,217,"DEC 08, 1997",26.0,2,Virginia,1630573,Signed on 08/13/21,Players,Sam Hauser,79,62,17,0.785,1740.585,249,558,0.446,197,465,0.424,17,19,0.895,45,231,276,82,32,40,25,11,99,21,712,492,1329.2,0,0,2,2,16,10,6,7,7,13,2,3,5,11,12,3,11,7,7,8,8,6,8,10,13,11,7,3,8,10,3,1610612738
1610612738,2023,Luke Kornet,luke-kornet,40.0,C-F,7-1,250,"JUL 15, 1995",28.0,6,Vanderbilt,1628436,Signed on 02/11/22,Players,Luke Kornet,63,48,15,0.762,983.31,142,203,0.7,1,1,1.0,49,54,0.907,118,143,261,67,21,23,61,12,77,68,334,218,978.7,1,0,8,8,13,16,9,9,9,1,18,18,1,7,8,1,1,9,9,9,9,9,4,12,11,6,9,9,9,9,3,1610612738
1610612738,2023,Al Horford,al-horford,42.0,C-F,6-9,240,"JUN 03, 1986",37.0,16,Florida,201143,Traded from OKC on 06/18/21,Players,Al Horford,65,51,14,0.785,1739.7966666666666,214,419,0.511,108,258,0.419,26,30,0.867,82,331,413,168,48,38,62,11,93,29,562,421,1561.6,3,0,7,7,11,11,7,8,8,6,8,8,6,9,9,5,5,2,2,6,7,8,3,10,12,9,8,6,7,6,3,1610612738
1610612738,2023,Jaden Springer,jaden-springer,44.0,G,6-4,202,"SEP 25, 2002",21.0,2,Tennessee,1630531,Traded from PHI on 02/08/24,Players,Jaden Springer,32,17,15,0.531,377.365,46,118,0.39,8,37,0.216,28,34,0.824,25,33,58,35,26,25,11,14,49,29,128,-66,332.1,0,0,14,15,16,18,17,17,15,22,20,17,23,12,13,10,13,17,15,14,14,10,11,20,13,13,17,28,16,13,2,1610612755
1610612738,2023,Svi Mykhailiuk,svi-mykhailiuk,50.0,G-F,6-7,205,"JUN 10, 1997",26.0,5,Kansas,1629004,Signed on 08/31/23,Players,Svi Mykhailiuk,41,32,9,0.78,413.16333333333336,57,137,0.416,42,108,0.389,6,9,0.667,11,40,51,35,12,11,1,4,19,12,162,149,299.7,0,0,11,11,9,12,11,12,11,17,9,9,8,15,14,15,15,12,13,11,12,12,16,8,7,13,11,10,12,10,3,1610612738
1610612738,2023,Neemias Queta,neemias-queta,88.0,C,7-0,248,"JUL 13, 1999",24.0,2,Utah State,1629674,Signed on 09/19/23,Players,Neemias Queta,28,24,4,0.857,333.21666666666664,67,104,0.644,0,0,0.0,20,28,0.714,53,69,122,20,13,13,21,12,50,24,154,135,419.4,2,0,12,12,5,5,12,11,12,3,19,19,19,10,10,13,9,11,11,12,11,11,9,12,9,10,12,11,11,8,3,1610612738
1610612739,2023,Max Strus,max-strus,1.0,G-F,6-5,215,"MAR 28, 1996",28.0,4,DePaul,1629622,Traded from MIA on 07/06/23,Players,Max Strus,70,43,27,0.614,2239.175,304,728,0.418,168,479,0.351,77,97,0.794,66,272,338,283,112,64,29,42,170,116,853,254,1850.1,5,1,3,3,14,4,2,6,5,13,2,2,11,7,7,6,5,3,3,4,5,4,6,14,17,7,5,2,4,6,1,1610612739
1610612739,2023,Ty Jerome,ty-jerome,2.0,G-F,6-5,195,"JUL 08, 1997",26.0,4,Virginia,1629660,Signed on 07/06/23,Players,Ty Jerome,2,1,1,0.5,14.816666666666666,2,4,0.5,0,1,0.0,0,0,0.0,1,0,1,3,1,0,0,0,2,0,4,-14,8.7,0,0,18,18,1,15,18,17,18,6,16,16,16,16,18,16,16,18,18,17,17,18,16,1,1,18,17,12,17,8,2,1610612739
1610612739,2023,Caris LeVert,caris-levert,3.0,G,6-6,205,"AUG 25, 1994",29.0,7,Michigan,1627747,Traded from IND on 02/07/22,Players,Caris LeVert,68,38,30,0.559,1958.0833333333333,345,820,0.421,108,332,0.325,154,201,0.766,39,241,280,346,117,76,34,48,121,153,952,120,2020.0,6,0,5,5,16,12,3,4,3,12,6,6,12,3,3,8,7,5,4,2,4,2,3,15,13,4,4,5,3,3,2,1610612739
1610612739,2023,Evan Mobley,evan-mobley,4.0,C,6-11,215,"JUN 18, 2001",22.0,2,Southern California,1630596,#3 Pick in 2021 Draft,Players,Evan Mobley,50,29,21,0.58,1532.35,320,553,0.579,22,59,0.373,123,171,0.719,112,356,468,160,90,45,72,39,134,137,785,33,1847.6,22,0,11,11,9,10,8,5,7,4,9,9,7,5,5,11,2,2,2,6,6,7,2,13,14,5,6,8,5,2,2,1610612739
1610612739,2023,Sam Merrill,sam-merrill,5.0,G,6-4,205,"MAY 15, 1996",28.0,3,Utah State,1630241,Signed on 03/03/23,Players,Sam Merrill,61,36,25,0.59,1068.9183333333333,158,393,0.402,143,354,0.404,26,28,0.929,22,98,120,108,19,19,4,13,72,50,485,28,841.0,0,0,6,6,12,7,10,9,9,16,4,5,3,10,11,1,10,11,11,9,12,11,13,9,9,10,9,10,9,8,2,1610612739
1610612739,2023,Pete Nance,pete-nance,8.0,F,6-10,225,"FEB 19, 2000",24.0,R,North Carolina,1631250,Signed on 09/12/23,Players,Pete Nance,8,3,5,0.375,27.35,1,6,0.167,1,1,1.0,0,2,0.0,0,3,3,0,1,1,0,0,2,1,3,-23,8.6,0,0,17,16,2,16,17,18,17,18,15,16,1,16,16,16,18,17,17,18,17,16,16,1,1,17,18,13,18,8,2,1610612739
1610612739,2023,Craig Porter Jr.,craig-porter-jr,9.0,G,6-1,180,"FEB 26, 2000",24.0,R,Wichita State,1641854,Signed on 07/03/23,Players,Craig Porter Jr.,51,30,21,0.588,649.355,116,228,0.509,12,34,0.353,41,56,0.732,21,88,109,118,45,21,15,16,40,50,285,-25,655.8,0,0,10,10,9,8,11,10,11,5,10,10,10,9,9,10,12,12,12,8,9,10,9,10,7,10,11,14,11,8,2,1610612739
1610612739,2023,Darius Garland,darius-garland,10.0,G,6-1,192,"JAN 26, 2000",24.0,4,Vanderbilt,1629636,#5 Pick in 2019 Draft,Players,Darius Garland,57,31,26,0.544,1900.4383333333333,375,841,0.446,132,356,0.371,146,175,0.834,30,122,152,373,176,74,7,48,95,163,1028,112,1836.9,6,0,7,9,13,13,5,3,2,10,5,4,8,4,4,5,9,9,10,1,1,3,12,15,11,3,3,6,6,3,2,1610612739
