,SEASON,PLAYER_ID,PLAYER,GP,W,L,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS_x,NBA_FANTASY_PTS,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,HOW_ACQUIRED,TEAM_ID,TEAM_NAME,GP_TEAM,FGM_TEAM,FGA_TEAM,FG3M_TEAM,FG3A_TEAM,FTM_TEAM,FTA_TEAM,OREB_TEAM,DREB_TEAM,REB_TEAM,AST_TEAM,TOV_TEAM,STL_TEAM,BLK_TEAM,PF_TEAM,PTS_TEAM,PLUS_MINUS_y,PPG,PACE,uPER,aPER,nPER
37,2023,1627747,Caris LeVert,68,38,30,1958.0833333333333,345,820,108,332,154,201,39,241,280,346,117,76,34,121,952,120,2020.0,G,6-6,205,"AUG 25, 1994",29.0,7,Michigan,Traded from IND on 02/07/22,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,14.0,97.62,15.426470588235293,15.66819726149013,22.358134149802527
38,2023,1630596,Evan Mobley,50,29,21,1532.35,320,553,22,59,123,171,112,356,468,160,90,45,72,134,785,33,1847.6,C,6-11,215,"JUN 18, 2001",23.0,2,Southern California,#3 Pick in 2021 Draft,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,15.7,97.62,23.18,23.54322140271802,33.595600926868194
39,2023,1630241,Sam Merrill,61,36,25,1068.9183333333333,158,393,143,354,26,28,22,98,120,108,19,19,4,72,485,28,841.0,G,6-4,205,"MAY 15, 1996",28.0,3,Utah State,Signed on 03/03/23,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,7.950819672131147,97.62,7.868852459016393,7.992154254872523,11.404608583499579
40,2023,1631250,Pete Nance,8,3,5,27.35,1,6,1,1,0,2,0,3,3,0,1,1,0,2,3,-23,8.6,F,6-10,225,"FEB 19, 2000",24.0,R,North Carolina,,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,0.375,97.62,-0.125,-0.1269587004029229,-0.18116695926913395
41,2023,1641854,Craig Porter Jr.,51,30,21,649.355,116,228,12,34,41,56,21,88,109,118,45,21,15,40,285,-25,655.8,G,6-1,180,"FEB 26, 2000",24.0,R,Wichita State,Signed on 07/03/23,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,5.588235294117647,97.62,7.372549019607843,7.48807393749004,10.685298303559899
42,2023,1629636,Darius Garland,57,31,26,1900.4383333333333,375,841,132,356,146,175,30,122,152,373,176,74,7,95,1028,112,1836.9,G,6-1,192,"JAN 26, 2000",24.0,4,Vanderbilt,#5 Pick in 2019 Draft,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,18.035087719298247,97.62,16.894736842105264,17.15947066498453,24.48614481069137
43,2023,202684,Tristan Thompson,49,28,21,548.9166666666666,73,119,0,1,15,52,73,101,174,51,29,12,14,59,161,-13,495.3,C-F,6-9,254,"MAR 13, 1991",33.0,12,Texas-Austin,Signed on 09/12/23,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,3.2857142857142856,97.62,6.122448979591836,6.218385325857447,8.873483719304518
44,2023,1630600,Isaiah Mobley,10,2,8,71.92166666666667,10,24,3,10,0,1,3,7,10,6,2,2,0,6,23,-30,48.0,F,6-8,238,"SEP 24, 1999",24.0,1,Southern California,,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,2.3,97.62,2.4,2.4376070477361194,3.4784056179673715
45,2023,1627777,Georges Niang,82,48,34,1831.125,284,632,149,396,51,60,22,256,278,98,72,30,18,192,768,31,1320.6,F,6-7,230,"JUN 17, 1993",31.0,7,Iowa State,Signed on 07/06/23,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,9.365853658536585,97.62,9.304878048780488,9.450681795846846,13.485891699741385
46,2023,1641734,Emoni Bates,15,8,7,132.815,15,49,10,33,1,4,1,13,14,10,8,1,2,5,41,-84,73.8,F,6-8,170,"JAN 28, 2004",20.0,R,Eastern Michigan,#49 Pick in 2023 Draft,1610612739,Cleveland Cavaliers,82,3425,7148,1108,3016,1278,1671,808,2742,3550,2299,1112.0,605,380,1436,9236,198.0,2.7333333333333334,97.62,1.5333333333333334,1.5573600582758542,2.222314700368043
